ids,mols,y
2716,CC(NC(=O)C(CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2628,CC(O)C(N)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2706,CC(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,1.0
2619,CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CO)C(=O)NC(CC(N)=O)C(=O)O,1.0
2544,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCCN)C(=O)O,1.0
2546,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2537,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2541,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)O,1.0
2542,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)O,1.0
2550,O=CC(O)C(O)C(O)CCO,1.0
2556,COC(CO)C(O)C(O)C(O)C=O,1.0
2549,OCC1OC(O)C2OC2C1O,1.0
2548,O=CC(O)(F)C(O)C(O)C(O)CO,1.0
2547,NC(=O)C1=CC=CC=C1S(N)(=O)=O,1.0
2560,OCC(O)COC1OC(C(O)CO)C(O)C1O,1.0
2534,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2558,COC1C(CO)OC2OC(C)(C)OC2C1OC,1.0
2563,OCC1OC(O)C(OF)C(O)C1O,1.0
2561,OCC(O)CC(O)C1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,1.0
2506,NCC(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NCC(=O)O,1.0
2510,NCC(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2511,NCC(=O)NC(CS)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2505,NCC(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)O)C(=O)O,1.0
2513,NCC(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2523,NCCCCC(NC(=O)C(CC(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CN)C(=O)O,1.0
2522,NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,1.0
2515,NCC(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2517,CC(C)CC(NC(=O)CN)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)O,1.0
2524,NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2526,CCC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)CN)C(=O)NC(CC(N)=O)C(=O)O,1.0
2531,CC(C)C(NC(=O)CN)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2565,NOCC(=O)C(O)C(O)C(O)CO,1.0
2525,NCC(=O)NC(CC1=CC=CC=C1)C(=O)NCC(=O)NC(CC(N)=O)C(=O)O,1.0
2564,COC(=O)CC(NC(C)=O)C(=O)NC(C)C(=O)NC(C(=O)NC(CC(=O)O)C(=O)CCCC1=CC=CC=C1)C(C)C,1.0
2607,OCCOC[C@@]1(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,1.0
2603,CCCCCCCCOC[C@H]1O[C@@](COCCCCCCCC)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](OCCCCCCCC)[C@@H]1OCCCCCCCC,1.0
2599,CCCCOC1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1.0
2602,O=CN[C@](CC(=O)O)(CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O,1.0
2605,OC[C@H]1OC(OOOC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1.0
2617,CC(C)CC(NC(=O)C(CC(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(C)CC(=O)O)C(=O)O,1.0
2613,CCCCCCCCCCC(OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)CO,1.0
2609,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COO,1.0
2616,CC1(OC2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.0
2608,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)NC(=O)C[C@H](N)C(=O)O,1.0
2621,CC(O)C(NC(=O)C(N)CO)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2625,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)C(C)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2597,OC[C@H]1OC(OC2C(O)C(O)C(O)C(O)C2O)[C@@H](O)[C@@H](O)[C@@H]1O,1.0
2751,CCC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NCC(=O)O,1.0
2623,CC(C)C(NC(=O)C(N)CO)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2572,COC(=O)C(NC(=O)C[C@H](N)C(=O)O)C(Cl)C1=CC=CC=C1,1.0
2595,OC[C@@H](O)C1OC(O)[C@H](O)[C@@H]1O,1.0
2596,OC[C@@H](O)[C@H]1OC(O)[C@H](O)C1(O)O,1.0
2573,COC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)NC=O,1.0
2567,CC1=CC=CC2=C1S(=O)(=O)N=C2O,1.0
2578,OCCOC(CO)C(O)[C@@]1(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,1.0
2579,CCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC,1.0
2584,OCC1OC(OC(CO)C2OCC(O)C2O)C(O)C(O)C1O,1.0
2582,CN1C(=O)[C@@H](N)CC(=O)OC(=O)[C@@H]1CC1=CC=CC=C1,1.0
2576,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)NC(=O)O,1.0
2585,O=[N+]([O-])OC1C(O)C(CO)OC1(CO)OC1OC(CO)C(O)C(O)C1O,1.0
2587,O=C[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H](O)[C@H](O)CO,1.0
2593,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1.0
2594,OC[C@H]1O[C@H](OCCBr)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,1.0
2912,CN(C(=O)C(CC(=O)O)NC=O)C(CC1=CC=CC=C1)C(=O)O,1.0
2911,CC1OC(O)C2OC(C)(C)OC2C1O,1.0
2761,CC(C)C(NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2914,O=CC(OO)C(OO)C(O)C(O)CO,1.0
2581,O=S(=O)(O)OC[C@@]1(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,1.0
2925,COC1CCC(O)OC1C,1.0
2920,CC(C)CC(NC(C)C(=O)NC(CC1=CC=CC=C1)C(=O)O)C(=O)O,1.0
2918,CC1OC(OC2(C)CC(O)C(O)C(C)O2)CC(O)C1O,1.0
2924,NOC(C=O)C(ON)C(O)C(O)CO,1.0
2921,CCCCC(NC(=O)C(CC1=CC=CC=C1)NC(=O)CN)C(=O)O,1.0
2930,OCC(O)C(O)C(O)C(O)C1OCCO1,1.0
2935,CC1OCC(C(O)C(O)C(O)CO)OC1O,1.0
2927,OCC(O)COC1OCC(O)C(O)C1O,1.0
2934,OCC(O)C(O)C(O)C1COC(O)C(O)O1,1.0
2929,OCC1OCC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.0
2880,CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)C(C)C)C(=O)NC(CC(N)=O)C(=O)O,1.0
2881,CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)C(C)C)C(=O)NC(CC(=O)O)C(=O)O,1.0
2883,CC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,1.0
2882,CC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)O,1.0
2886,CC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)O)C(C)C,1.0
2887,CC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NCC(=O)NC(CC(=O)O)C(=O)O,1.0
2894,CC(C)C(N)C(=O)NC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)O)C(C)C,1.0
2893,CC(C)C(N)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)C(C)C,1.0
2888,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)C(C)C)C(=O)NC(CC(N)=O)C(=O)O,1.0
2903,CCCCCCCCOC(OC1OC(CO)C(O)C(O)C1O)C(C)O,1.0
2900,CCCCCCCOC1C(OC)OC(C(O)CO)C1O,1.0
2895,CO[C@H]1C[C@@H](C)O[C@H](O)[C@@H]1O,1.0
2904,NC(CC(=O)N(C=O)C(CC1=CC=CC=C1)C(=O)O)C(=O)O,1.0
2902,CC(=O)OCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,1.0
2908,CCOC(=O)CC(N)C(=O)NC(CC1=CC=CC=C1)C(=O)OCC,1.0
2975,COC(CCCO[C@@H]1[C@@H](CO)O[C@H](OC)[C@H](O)[C@H]1O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.0
2940,CCOC(=O)CC1NC(=O)C(CC2=CC=CC=C2)NC1=O,1.0
2941,OC1OC[C@@H](O)C[C@H]1O,1.0
2905,CCOC(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2979,OC[C@H]1O[C@@](CO)(OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,1.0
2978,OC[C@@H](O)[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,1.0
2983,C[C@@H](O)[C@@H](O)[C@@H](O)CO,1.0
2986,CCOC(C)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.0
2987,COC1O[C@H](C)[C@@H](O)[C@H](OC)[C@@H]1O,1.0
2989,CC[Sn]1(CC)O[C@H]2[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2O1,1.0
2995,CCC(NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCOC)C(C)CC)C(C)C)C(C)CC)C(=O)OC,1.0
2991,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(=O)O,1.0
2988,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(O)CO,1.0
2998,COC1O[C@H](CO)[C@@H](O)[C@H](OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,1.0
2972,CO[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)CO,1.0
2973,OC[C@H]1OC(O[C@H]2C(S)O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,1.0
2942,CC(C)(C)OC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,1.0
2971,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)F,1.0
2947,COC(=O)C(CC1=CC=CC=C1)NC(=O)CC(NCCC(C)(C)C)C(=O)O,1.0
2954,COC1C(CO)OC(OP)C(OC)C1OC,1.0
2948,OCC(O)C(O)C1OC(CO)(CO)OC1CO,1.0
2945,CCCC[Sn](CCCC)=C(O)[C@@]1(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,1.0
2950,CC(C)CC(NC(=O)C(CC(=O)O)NC(=O)CCC1=CC=CC=C1)C(=O)O,1.0
2957,CC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@]1(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(Cl)OCl,1.0
2960,CCCCCCCC(C)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.0
2879,CC(C)C(N)C(=O)NC(CCCCN)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)O,1.0
