ids,mols,y
265065,CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(=O)OC1CC2CCC1(C)C2(C)C,1.0
265077,CCOC1=C(O)C=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O)C=C1,1.0
264993,CCC(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,1.0
265075,CC(=CCO)CCC1=C(C=O)CC(OC2OCC(O)C(O)C2O)C2C(C)(CO)CCCC12C,1.0
265034,NC(CC(=O)O)C(=O)NC(CO)C(=O)OC1CCCCC1,1.0
264944,CCCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.0
264958,CC(=O)OCCNC(=O)C(N)CC(=O)O,1.0
265132,CC1(C)C(O[C@@H]2OC(C(=O)O)C(O)C(O)C2O[C@@H]2OC(C(=O)O)C(O)C(O)C2O)CC[C@@]2(C=O)[C@H]1CC[C@@]1(C)[C@@H]2CC=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@@]3(C)CC[C@@]21C,1.0
265103,CC=CC1=CC=C(OC)C=C1,1.0
265151,OC1=CC2=C(C=C1O)C1C3=CC=C(O)C(O)=C3OC[C@@]1(O)O2,1.0
265130,NC(CC1=CNC2=C1C(Cl)=CC=C2)C(=O)O,1.0
265146,C/C(=C\CO)CCC1=C(C=O)CC(OC2OCC(O)C(O)C2O)C2[C@@](C)(CO)CCC[C@@]12C,1.0
265106,OC1COC(OC2COC(O)C(O)C2O)C(O)C1O,1.0
265126,CCCOC1=CC=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3O[C@H]3OC(C)C(O)C(O)C3O)C=C2O)C=C1O,1.0
265124,OCC1OC(O[C@]2(CBr)OC(CBr)C(Br)C2O)C(O)C(O)C1F,1.0
265069,CC1=CC=CC(CNC(=NC2=CC=C(C#N)C=C2)NCC(=O)O)=C1,1.0
265116,OCC1OC(O[C@]2(CBr)OC(CBr)C(O)C2O)C(O)C(O)C1Br,1.0
265127,C[C@]1(C(=O)O)CCC[C@@]2(C)C3=C(C=CC=C3)[C@@](O)(C(=O)O)[C@H]12,1.0
265111,OCC1OC(O[C@]2(CCl)OC(CCl)C(Br)C2O)C(O)C(O)C1Cl,1.0
265147,CC1(C)C(O[C@@H]2OC(C(=O)O)C(O)C(O)C2O[C@@H]2OC(C(=O)O)C(O)C(O)C2O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@@]3(C)CC[C@@]21C,1.0
265141,CC1=C(CCC2=COC=C2)[C@]2(C)CCC(O[C@@H]3OC(CO)C(O)C(O)C3O[C@@H]3OCC(O)C(O)C3O)C(C)(C)[C@H]2CC1,1.0
265134,CC1(C)C(OC2OC(C(=O)O)C(O)C(O)C2OC2OC(C(=O)O)C(O)C(O)C2O)CC[C@@]2(CO)C1CC[C@]1(C)C2CC=C2C3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@@]21C,1.0
265118,OCC1OC(O[C@]2(CF)OC(CF)C(O)C2O)C(O)C(O)C1F,1.0
265100,CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(OC5OC(CO)C(O)C(O)C5O)C4(C)C)C3(C)C(O)CC12C,1.0
265153,COC1=C(O)C=C2C(=C1)CCC1C2CC[C@]2(C)CCCC12,1.0
265152,COC1=CC2=C(C=C1)C1C3=CC=CC=C3OC[C@@]1(O)O2,1.0
265119,OCC1OC(O[C@]2(CI)OC(CI)C(O)C2O)C(O)C(O)C1I,1.0
265107,OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,1.0
265096,O=CC(O)C(O)C(O)CO,1.0
265154,OCC(O)C(O)[C@H](OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.0
265110,OCC1OC(O[C@]2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,1.0
265112,OCC1OC(O[C@]2(CCl)OC(CCl)C(F)C2O)C(O)C(O)C1Cl,1.0
265143,C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)C2CC[C@@]1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3,1.0
265104,O=CC=CC1=CC=CC=C1,1.0
265123,OCC1O[C@@](CO)(OC2OC(CO)C(Cl)C(O)C2O)C(O)C1O,1.0
265142,CC(=O)OCC1OC(OC2CC[C@@]3(C)C(CC[C@]4(C)C3CC(OC3OC(C)C(O)C(O)C3O)C3C([C@@]5(C)CCC(C(C)(C)O)O5)CC[C@@]34C)C2(C)C)C(O)C1O,1.0
265117,OCC1OC(O[C@]2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,1.0
264931,CC(CC1=CC=CO1)NC(=O)C(N)CC(=O)O,1.0
264934,CCCCCC(C)NC(=O)C(N)CC(=O)O,1.0
264932,CC(CC1CCCCC1)NC(=O)C(N)CC(=O)O,1.0
264991,CCC(=O)OCC(CC)NC(=O)C(N)CC(=O)O,1.0
264937,CCCCCCC(C)NC(=O)C(N)CC(=O)O,1.0
264930,CC(CC1=CC=C(F)C=C1)NC(=O)C(N)CC(=O)O,1.0
264965,CC(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.0
264939,CC(C)(CC1=CC=CC=C1)NC(=O)C(N)CC(=O)O,1.0
264783,OC1C(O)C(O)C(O)C(O)C1O,1.0
264928,CC1=CC=C(CC(C)NC(=O)C(N)CC(=O)O)C=C1,1.0
265088,CC1CCC(C(C)C2CCC3C4CC(=O)C5CC(OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC23C)OC1OC1OC(C)C(O)C(O)C1O,1.0
265087,CC1OC(OC2C(OC3=CC(O)=C(C(=O)CCC4=CC=C(O)C(O)=C4)C(O)=C3)OC(CO)C(O)C2O)C(O)C(O)C1O,1.0
265093,C=C(C)C1CCC2(C)C(CC(OC3OC(C)C(O)C(O)C3O)C3C(C(C)(O)CC=CC(C)(C)O)CCC32C)C1(C)CCC(=O)O,1.0
265160,COC1=CC=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3O[C@H]3OC(C)C(O)C(O)C3O)C=C2O)C=C1O,1.0
265163,OC[C@]1(O)OCC(O)C(O)C1O,1.0
265017,NC(CC(=O)O)C(=O)NCCC(=O)OC1CCCC1,1.0
265085,CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)C3(C)C(O)CC12C,1.0
265156,O=CC(O)C(O)[C@H](OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.0
265159,CC1O[C@H](OC2C(OC3=CC(O)=C(C(=O)CCC4=CC(O)=C(O)C=C4)C(O)=C3)OC(CO)C(O)C2O)C(O)C(O)C1O,1.0
